"id","reconcile","code","name","internal_type","user_type_id/id"
"__export__.account_account_520119",,520119,"NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES",,
"__export__.account_account_520120",,520120,"ELIMINADO",,
"__export__.account_account_520121",,520121,"DEPRECIACIONES",,
"__export__.account_account_52012101",,52012101,"PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_52012102",,52012102,"PROPIEDADES DE INVERSIÓN",,
"__export__.account_account_520122",,520122,"AMORTIZACIONES",,
"__export__.account_account_52012201",,52012201,"INTANGIBLES",,
"__export__.account_account_52012202",,52012202,"OTROS ACTIVOS",,
"__export__.account_account_520123",,520123,"GASTO DETERIORO",,
"__export__.account_account_52012301",,52012301,"PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_52012302",,52012302,"ELIMINADO",,
"__export__.account_account_52012303",,52012303,"ELIMINADO",,
"__export__.account_account_52012304",,52012304,"ELIMINADO",,
"__export__.account_account_52012305",,52012305,"ELIMINADO",,
"__export__.account_account_52012306",,52012306,"OTROS ACTIVOS",,
"__export__.account_account_520124",,520124,"GASTOS POR CANTIDADES ANORMALES DE UTILIZACIÓN EN EL PROCESO DE PRODUCCIÓN",,
"__export__.account_account_52012401",,52012401,"MANO DE OBRA",,
"__export__.account_account_52012402",,52012402,"MATERIALES",,
"__export__.account_account_52012403",,52012403,"COSTOS DE PRODUCCIÓN",,
"__export__.account_account_520125",,520125,"GASTO POR REESTRUCTURACIÓN",,
"__export__.account_account_520126",,520126,"VALOR NETO DE REALIZACIÓN DE INVENTARIOS",,
"__export__.account_account_520127",,520127,"ELIMINADO",,
"__export__.account_account_520128",,520128,"OTROS GASTOS",,
"__export__.account_account_5202",,5202,"GASTOS",,
"__export__.account_account_520201",,520201,"SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES",,
"__export__.account_account_520202",,520202,"APORTES A LA SEGURIDAD SOCIAL (incluido fondo de reserva)",,
"__export__.account_account_520203",,520203,"BENEFICIOS SOCIALES E INDEMNIZACIONES",,
"__export__.account_account_520204",,520204,"GASTO PLANES DE BENEFICIOS A EMPLEADOS",,
"__export__.account_account_520205",,520205,"HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES",,
"__export__.account_account_520206",,520206,"REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS",,
"__export__.account_account_520207",,520207,"HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES",,
"__export__.account_account_520208",,520208,"MANTENIMIENTO Y REPARACIONES",,
"__export__.account_account_520209",,520209,"ARRENDAMIENTO OPERATIVO",,
"__export__.account_account_520210",,520210,"COMISIONES",,
"__export__.account_account_520211",,520211,"ELIMINADO",,
"__export__.account_account_520212",,520212,"COMBUSTIBLES",,
"__export__.account_account_520213",,520213,"LUBRICANTES",,
"__export__.account_account_520214",,520214,"SEGUROS Y REASEGUROS (primas y cesiones)",,
"__export__.account_account_520215",,520215,"TRANSPORTE",,
"__export__.account_account_520216",,520216,"GASTOS DE GESTIÓN (agasajos a accionistas, trabajadores y clientes)",,
"__export__.account_account_520217",,520217,"GASTOS DE VIAJE",,
"__export__.account_account_520218",,520218,"AGUA, ENERGÍA, LUZ Y TELECOMUNICACIONES",,
"__export__.account_account_520219",,520219,"NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES",,
"__export__.account_account_520220",,520220,"IMPUESTOS, CONTRIBUCIONES Y OTROS",,
"__export__.account_account_520221",,520221,"DEPRECIACIONES",,
"__export__.account_account_52022101",,52022101,"PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_52022102",,52022102,"PROPIEDADES DE INVERSIÓN",,
"__export__.account_account_520222",,520222,"AMORTIZACIONES",,
"__export__.account_account_52022201",,52022201,"INTANGIBLES",,
"__export__.account_account_52022202",,52022202,"OTROS ACTIVOS",,
"__export__.account_account_520223",,520223,"GASTO DETERIORO",,
"__export__.account_account_52022301",,52022301,"PROPIEDADES, PLANTA Y EQUIPO",,
"__export__.account_account_52022302",,52022302,"INVENTARIOS",,
"__export__.account_account_52022303",,52022303,"INSTRUMENTOS FINANCIEROS",,
"__export__.account_account_52022304",,52022304,"INTANGIBLES",,
"__export__.account_account_52022305",,52022305,"CUENTAS POR COBRAR",,
"__export__.account_account_52022306",,52022306,"OTROS ACTIVOS",,
"__export__.account_account_520224",,520224,"GASTOS POR CANTIDADES ANORMALES DE UTILIZACIÓN EN EL PROCESO DE PRODUCCIÓN",,
"__export__.account_account_52022401",,52022401,"MANO DE OBRA",,
"__export__.account_account_52022402",,52022402,"MATERIALES",,
"__export__.account_account_52022403",,52022403,"COSTOS DE PRODUCCIÓN",,
"__export__.account_account_520225",,520225,"GASTO POR REESTRUCTURACIÓN",,
"__export__.account_account_520226",,520226,"VALOR NETO DE REALIZACIÓN DE INVENTARIOS",,
"__export__.account_account_520227",,520227,"GASTO IMPUESTO A LA RENTA (ACTIVOS Y PASIVOS DIFERIDOS)",,
"__export__.account_account_520228",,520228,"OTROS GASTOS",,
"__export__.account_account_5203",,5203,"GASTOS FINANCIEROS",,
"__export__.account_account_520301",,520301,"INTERESES",,
"__export__.account_account_520302",,520302,"COMISIONES",,
"__export__.account_account_520303",,520303,"GASTOS DE FINANCIAMIENTO DE ACTIVOS",,
"__export__.account_account_520304",,520304,"DIFERENCIA EN CAMBIO",,
"__export__.account_account_520305",,520305,"OTROS GASTOS FINANCIEROS",,
"__export__.account_account_5204",,5204,"OTROS GASTOS",,
